"lat","lon","cor_gen_div","fish_sp_div"
-7.5,121.5,84,2602
-7.5,122.5,83,2602
-7.5,123.5,83,2617
-7.5,125.5,82,2621
-7.5,126.5,82,2621
-7.5,127.5,82,2612
-7.5,128.5,82,2604
-7.5,129.5,82,2610
-7.5,130.5,82,2607
-7.5,131.5,82,2608
-7.5,132.5,82,2613
-7.5,134.5,66,2605
-7.5,147.5,79,2368
-7.5,155.5,76,2077
-7.5,156.5,77,2055
-7.5,157.5,77,1987
-7.5,158.5,77,1872
-7.5,159.5,78,1747
-7.5,160.5,78,1648
-7.5,177.5,69,240
-7.5,178.5,69,211
-8.5,-172.5,52,551
-8.5,-158.5,43,695
-8.5,-157.5,43,703
-8.5,-35.5,9,951
-8.5,-34.5,9,851
-8.5,39.5,64,1391
-8.5,51.5,65,1675
-8.5,110.5,78,2153
-8.5,112.5,79,2182
-8.5,113.5,80,2215
-8.5,114.5,83,2235
-8.5,115.5,83,2281
-8.5,116.5,83,2345
-8.5,117.5,83,2399
-8.5,118.5,84,2446
-8.5,119.5,84,2486
-8.5,120.5,84,2507
-8.5,121.5,83,2528
-8.5,122.5,83,2532
-8.5,123.5,83,2540
-8.5,124.5,83,2550
-8.5,125.5,82,2548
-8.5,126.5,82,2559
-8.5,127.5,82,2563
-8.5,128.5,82,2567
-8.5,129.5,82,2580
-8.5,130.5,82,2588
-8.5,131.5,83,2582
-8.5,136.5,64,2590
-8.5,143.5,76,2549
-8.5,146.5,76,2414
-8.5,148.5,79,2329
-8.5,149.5,79,2287
-8.5,150.5,79,2260
-8.5,151.5,79,2209
-8.5,152.5,78,2167
-8.5,156.5,75,2056
-8.5,157.5,77,2010
-8.5,158.5,77,1936
-8.5,159.5,78,1848
-8.5,160.5,78,1732
-8.5,161.5,78,1608
-8.5,162.5,78,1537
-8.5,178.5,69,212
-8.5,179.5,69,141
-9.5,-171.5,52,594
-9.5,-161.5,43,691
-9.5,-158.5,43,729
-9.5,-157.5,43,736
-9.5,-150.5,39,791
-9.5,-35.5,9,898
-9.5,39.5,64,1366
-9.5,46.5,65,1602
-9.5,47.5,65,1620
-9.5,50.5,65,1659
-9.5,51.5,65,1673
-9.5,116.5,80,2286
-9.5,117.5,82,2319
-9.5,118.5,82,2364
-9.5,119.5,82,2392
-9.5,120.5,82,2409
-9.5,123.5,82,2475
-9.5,124.5,81,2489
-9.5,125.5,81,2493
-9.5,135.5,65,2589
-9.5,136.5,65,2592
-9.5,141.5,69,2575
-9.5,142.5,77,2565
-9.5,143.5,77,2548
-9.5,144.5,76,2479
-9.5,145.5,76,2442
-9.5,146.5,76,2406
-9.5,147.5,77,2358
-9.5,148.5,79,2305
-9.5,149.5,80,2266
-9.5,150.5,80,2228
-9.5,151.5,79,2194
-9.5,152.5,78,2156
-9.5,153.5,75,2129
-9.5,157.5,75,1987
-9.5,158.5,76,1943
-9.5,159.5,77,1862
-9.5,160.5,77,1770
-9.5,161.5,78,1684
-9.5,162.5,78,1585
-9.5,166.5,71,1301
-9.5,167.5,71,1191
-9.5,179.5,69,145
-10.5,-179.5,69,0
-10.5,-165.5,43,684
-10.5,-161.5,43,707
-10.5,-160.5,43,717
-10.5,-152.5,42,812
-10.5,-150.5,42,807
-10.5,-36.5,9,917
-10.5,39.5,64,1365
-10.5,40.5,65,1440
-10.5,47.5,66,1634
-10.5,50.5,65,1676
-10.5,51.5,65,1694
-10.5,56.5,66,1725
-10.5,105.5,34,1839
-10.5,119.5,82,2334
-10.5,120.5,82,2352
-10.5,121.5,82,2384
-10.5,122.5,81,2404
-10.5,123.5,81,2402
-10.5,124.5,81,2417
-10.5,132.5,69,2556
-10.5,133.5,70,2560
-10.5,141.5,67,2551
-10.5,142.5,77,2546
-10.5,143.5,77,2541
-10.5,144.5,77,2513
-10.5,145.5,0,2442
-10.5,147.5,77,2363
-10.5,148.5,79,2308
-10.5,149.5,81,2256
-10.5,150.5,81,2215
-10.5,151.5,79,2178
-10.5,152.5,79,2137
-10.5,153.5,76,2114
-10.5,155.5,73,2054
-10.5,161.5,78,1752
-10.5,162.5,78,1665
-10.5,165.5,71,1402
-10.5,166.5,71,1357
-10.5,167.5,71,1254
-10.5,179.5,69,144
-11.5,-179.5,0,0
-11.5,-178.5,0,136
-11.5,-177.5,0,260
-11.5,-171.5,52,626
-11.5,-165.5,43,704
-11.5,-151.5,42,829
-11.5,40.5,66,1436
-11.5,43.5,65,1500
-11.5,46.5,66,1609
-11.5,47.5,68,1617
-11.5,49.5,68,1661
-11.5,96.5,34,1651
-11.5,122.5,81,2304
-11.5,123.5,82,2335
-11.5,130.5,69,2472
-11.5,131.5,69,2490
-11.5,132.5,69,2506
-11.5,133.5,70,2509
-11.5,134.5,68,2511
-11.5,135.5,68,2511
-11.5,136.5,68,2525
-11.5,141.5,65,2540
-11.5,142.5,77,2517
-11.5,143.5,77,2520
-11.5,144.5,77,2529
-11.5,150.5,79,2219
-11.5,151.5,78,2175
-11.5,152.5,77,2142
-11.5,153.5,75,2110
-11.5,154.5,74,2089
-11.5,159.5,75,1923
-11.5,160.5,77,1859
-11.5,166.5,71,1395
-11.5,167.5,71,1295
-11.5,169.5,71,1180
-11.5,170.5,0,1111
-11.5,175.5,0,777
-11.5,176.5,69,704
-12.5,-179.5,0,0
-12.5,-177.5,54,318
-12.5,-176.5,54,422
-12.5,-175.5,54,539
-12.5,-38.5,9,901
-12.5,-37.5,9,901
-12.5,40.5,65,1423
-12.5,41.5,65,1454
-12.5,43.5,65,1495
-12.5,44.5,65,1515
-12.5,45.5,65,1549
-12.5,46.5,66,1580
-12.5,47.5,68,1614
-12.5,48.5,68,1624
-12.5,49.5,68,1640
-12.5,96.5,34,1619
-12.5,122.5,68,2274
-12.5,123.5,69,2290
-12.5,124.5,69,2311
-12.5,130.5,69,2396
-12.5,131.5,69,2401
-12.5,134.5,68,2440
-12.5,135.5,68,2458
-12.5,136.5,68,2479
-12.5,141.5,65,2489
-12.5,143.5,77,2477
-12.5,160.5,75,1889
-12.5,168.5,71,1259
-12.5,176.5,69,737
-12.5,177.5,69,607
-13.5,-179.5,66,0
-13.5,-178.5,66,170
-13.5,-176.5,54,494
-13.5,-172.5,58,660
-13.5,-171.5,58,678
-13.5,-163.5,43,753
-13.5,-38.5,9,868
-13.5,40.5,65,1370
-13.5,44.5,65,1505
-13.5,45.5,65,1518
-13.5,47.5,68,1579
-13.5,48.5,68,1601
-13.5,49.5,66,1604
-13.5,50.5,66,1615
-13.5,120.5,1,2171
-13.5,121.5,1,2190
-13.5,122.5,69,2244
-13.5,124.5,69,2285
-13.5,125.5,69,2283
-13.5,126.5,69,2291
-13.5,127.5,69,2296
-13.5,129.5,69,2325
-13.5,130.5,69,2328
-13.5,143.5,77,2416
-13.5,144.5,77,2425
-13.5,146.5,77,2396
-13.5,160.5,0,1902
-13.5,166.5,71,1484
-13.5,167.5,71,1357
-14.5,-178.5,66,255
-14.5,-177.5,66,437
-14.5,-171.5,58,701
-14.5,-170.5,58,698
-14.5,-169.5,58,693
-14.5,-168.5,58,706
-14.5,-148.5,44,840
-14.5,-147.5,44,836
-14.5,-146.5,44,834
-14.5,-145.5,44,814
-14.5,-144.5,44,797
-14.5,-141.5,14,738
-14.5,-138.5,7,723
-14.5,-38.5,9,847
-14.5,40.5,65,1356
-14.5,47.5,68,1528
-14.5,50.5,66,1578
-14.5,121.5,69,2178
-14.5,123.5,69,2207
-14.5,124.5,69,2224
-14.5,125.5,69,2239
-14.5,126.5,69,2236
-14.5,127.5,69,2242
-14.5,129.5,69,2255
-14.5,135.5,68,2321
-14.5,136.5,68,2339
-14.5,143.5,77,2351
-14.5,144.5,77,2356
-14.5,145.5,77,2361
-14.5,146.5,77,2370
-14.5,159.5,0,1931
-14.5,166.5,72,1590
-14.5,167.5,72,1458
-14.5,168.5,72,1274
-15.5,-179.5,73,0
-15.5,-176.5,54,539
-15.5,-173.5,54,683
-15.5,-154.5,43,831
-15.5,-148.5,44,844
-15.5,-147.5,44,832
-15.5,-146.5,44,820
-15.5,-145.5,44,808
-15.5,-144.5,44,802
-15.5,-142.5,44,764
-15.5,-140.5,16,716
-15.5,40.5,65,1379
-15.5,45.5,66,1504
-15.5,46.5,67,1510
-15.5,47.5,67,1515
-15.5,49.5,66,1518
-15.5,50.5,66,1538
-15.5,54.5,67,1576
-15.5,121.5,69,2171
-15.5,123.5,69,2182
-15.5,124.5,69,2179
-15.5,145.5,77,2293
-15.5,147.5,0,2281
-15.5,149.5,75,2198
-15.5,166.5,72,1636
-15.5,167.5,72,1480
-15.5,168.5,72,1297
-15.5,175.5,0,1092
-15.5,179.5,73,423
-16.5,-179.5,73,0
-16.5,-178.5,73,370
-16.5,-173.5,54,675
-16.5,-154.5,43,805
-16.5,-153.5,43,807
-16.5,-152.5,43,805
-16.5,-151.5,43,808
-16.5,-150.5,44,803
-16.5,-149.5,45,770
-16.5,-146.5,44,762
-16.5,-145.5,44,751
-16.5,-144.5,44,746
-16.5,-143.5,44,735
-16.5,-142.5,44,729
-16.5,-141.5,20,717
-16.5,-140.5,17,695
-16.5,-39.5,9,737
-16.5,-38.5,9,709
-16.5,39.5,61,1353
-16.5,40.5,64,1377
-16.5,43.5,64,1456
-16.5,44.5,64,1476
-16.5,45.5,65,1485
-16.5,49.5,66,1496
-16.5,50.5,66,1496
-16.5,59.5,66,1547
-16.5,122.5,71,2102
-16.5,123.5,69,2100
-16.5,124.5,69,2093
-16.5,138.5,65,2173
-16.5,139.5,65,2179
-16.5,145.5,77,2230
-16.5,146.5,77,2247
-16.5,147.5,0,2243
-16.5,148.5,76,2171
-16.5,149.5,76,2130
-16.5,150.5,75,2061
-16.5,167.5,72,1464
-16.5,168.5,72,1268
-16.5,177.5,73,977
-16.5,178.5,73,798
-16.5,179.5,73,422
-17.5,-179.5,73,0
-17.5,-178.5,73,296
-17.5,-174.5,54,631
-17.5,-163.5,0,676
-17.5,-150.5,44,747
-17.5,-149.5,44,741
-17.5,-148.5,44,728
-17.5,-145.5,44,708
-17.5,-144.5,44,701
-17.5,-143.5,44,686
-17.5,-142.5,44,683
-17.5,-141.5,21,678
-17.5,-140.5,17,666
-17.5,-138.5,16,626
-17.5,-39.5,9,661
-17.5,-38.5,9,640
-17.5,38.5,58,1334
-17.5,39.5,60,1357
-17.5,42.5,64,1444
-17.5,43.5,64,1452
-17.5,49.5,66,1474
-17.5,50.5,66,1467
-17.5,118.5,0,1964
-17.5,119.5,68,1984
-17.5,139.5,65,2109
-17.5,140.5,65,2117
-17.5,145.5,77,2161
-17.5,146.5,77,2165
-17.5,148.5,76,2170
-17.5,149.5,76,2113
-17.5,150.5,75,2046
-17.5,151.5,75,1964
-17.5,152.5,70,1914
-17.5,155.5,66,1876
-17.5,162.5,0,1764
-17.5,163.5,0,1729
-17.5,168.5,73,1196
-17.5,176.5,73,927
-17.5,177.5,73,886
-17.5,178.5,73,525
-17.5,179.5,73,238
-18.5,-179.5,73,0
-18.5,-178.5,73,279
-18.5,-174.5,54,596
-18.5,-173.5,54,609
-18.5,-169.5,49,603
-18.5,-168.5,49,619
-18.5,-163.5,0,627
-18.5,-159.5,43,652
-18.5,-142.5,44,661
-18.5,-141.5,21,655
-18.5,-140.5,22,641
-18.5,-139.5,18,625
-18.5,-138.5,17,600
-18.5,-137.5,16,582
-18.5,-136.5,15,572
-18.5,-39.5,9,506
-18.5,-38.5,9,529
-18.5,42.5,0,1417
-18.5,43.5,63,1437
-18.5,44.5,63,1458
-18.5,49.5,66,1440
-18.5,146.5,77,2084
-18.5,147.5,77,2093
-18.5,148.5,77,2112
-18.5,149.5,77,2085
-18.5,152.5,70,1863
-18.5,158.5,66,1752
-18.5,162.5,70,1728
-18.5,163.5,70,1689
-18.5,164.5,70,1626
-18.5,168.5,71,1116
-18.5,169.5,71,1019
-18.5,177.5,73,354
-18.5,178.5,73,253
-18.5,179.5,73,44
-19.5,-179.5,73,0
-19.5,-178.5,73,250
-19.5,-175.5,54,501
-19.5,-174.5,54,554
-19.5,-173.5,54,550
-19.5,-169.5,49,547
-19.5,-158.5,43,605
-19.5,-157.5,43,626
-19.5,-145.5,43,648
-19.5,-144.5,43,643
-19.5,-141.5,21,612
-19.5,-140.5,22,605
-19.5,-139.5,20,597
-19.5,-138.5,17,588
-19.5,44.5,62,1398
-19.5,48.5,66,1384
-19.5,57.5,68,1303
-19.5,63.5,67,1208
-19.5,118.5,68,1770
-19.5,146.5,77,1982
-19.5,147.5,77,2007
-19.5,148.5,77,2031
-19.5,149.5,77,2036
-19.5,150.5,77,2003
-19.5,152.5,0,1826
-19.5,158.5,66,1653
-19.5,159.5,66,1642
-19.5,163.5,70,1617
-19.5,164.5,70,1563
-19.5,165.5,71,1482
-19.5,169.5,69,895
-19.5,170.5,69,828
-19.5,177.5,73,77
-19.5,178.5,73,0
-19.5,179.5,73,0
-20.5,-178.5,73,214
-20.5,-175.5,54,274
-20.5,-174.5,54,362
-20.5,-161.5,0,436
-20.5,-158.5,43,491
-20.5,-157.5,43,492
-20.5,-143.5,20,552
-20.5,-139.5,22,552
-20.5,-138.5,19,546
-20.5,-29.5,0,426
-20.5,-28.5,0,429
-20.5,43.5,61,1350
-20.5,44.5,61,1352
-20.5,57.5,68,1073
-20.5,115.5,69,1544
-20.5,116.5,69,1563
-20.5,117.5,68,1568
-20.5,118.5,68,1580
-20.5,148.5,77,1922
-20.5,149.5,77,1939
-20.5,150.5,77,1936
-20.5,151.5,77,1870
-20.5,152.5,74,1781
-20.5,154.5,0,1626
-20.5,158.5,66,1545
-20.5,159.5,66,1526
-20.5,163.5,70,1496
-20.5,164.5,71,1474
-20.5,165.5,71,1424
-20.5,166.5,71,1306
-20.5,167.5,71,1045
-20.5,169.5,69,680
-21.5,-178.5,72,215
-21.5,-175.5,54,231
-21.5,-174.5,54,239
-21.5,-164.5,0,279
-21.5,-163.5,0,288
-21.5,-159.5,21,356
-21.5,-157.5,43,368
-21.5,-154.5,21,446
-21.5,-140.5,20,493
-21.5,-139.5,20,493
-21.5,-138.5,19,488
-21.5,-136.5,16,480
-21.5,-135.5,15,450
-21.5,35.5,56,1124
-21.5,39.5,55,1202
-21.5,43.5,61,1263
-21.5,48.5,66,1199
-21.5,55.5,67,983
-21.5,113.5,67,1239
-21.5,114.5,69,1340
-21.5,115.5,69,1386
-21.5,149.5,77,1807
-21.5,150.5,77,1827
-21.5,151.5,77,1802
-21.5,152.5,74,1718
-21.5,153.5,74,1599
-21.5,154.5,0,1534
-21.5,155.5,0,1485
-21.5,158.5,66,1385
-21.5,159.5,66,1350
-21.5,164.5,71,1229
-21.5,165.5,71,1163
-21.5,166.5,71,883
-21.5,167.5,71,699
-21.5,168.5,71,532
-21.5,174.5,0,14
-22.5,-176.5,24,122
-22.5,-152.5,20,284
-22.5,-151.5,20,274
-22.5,-138.5,0,320
-22.5,-136.5,16,319
-22.5,-134.5,15,296
-22.5,35.5,56,1055
-22.5,40.5,55,1084
-22.5,43.5,57,1034
-22.5,48.5,66,962
-22.5,113.5,67,1098
-22.5,114.5,67,1222
-22.5,149.5,76,1517
-22.5,150.5,76,1531
-22.5,151.5,76,1527
-22.5,152.5,74,1450
-22.5,155.5,0,1217
-22.5,165.5,71,767
-22.5,166.5,71,680
-22.5,167.5,71,612
-22.5,168.5,71,514
-22.5,169.5,70,368
-23.5,-149.5,17,196
-23.5,-147.5,10,202
-23.5,-137.5,0,244
-23.5,-135.5,14,224
-23.5,-134.5,14,215
-23.5,-130.5,10,221
-23.5,35.5,56,1038
-23.5,43.5,56,954
-23.5,113.5,67,1037
-23.5,150.5,75,1398
-23.5,151.5,74,1410
-23.5,152.5,74,1372
-23.5,155.5,0,1136
-23.5,166.5,71,541
-23.5,167.5,71,479
-24.5,-128.5,21,102
-24.5,-124.5,19,102
-24.5,35.5,55,989
-24.5,43.5,56,801
-24.5,44.5,56,776
-24.5,47.5,66,712
-24.5,113.5,67,918
-24.5,151.5,71,1349
-24.5,152.5,70,1348
-24.5,153.5,62,1270
-25.5,-130.5,20,73
-25.5,32.5,38,701
-25.5,44.5,58,652
-25.5,46.5,66,648
-25.5,112.5,67,734
-25.5,113.5,67,832
-25.5,114.5,67,913
-25.5,153.5,62,1279
-26.5,32.5,38,654
-26.5,113.5,67,758
-26.5,114.5,67,821
-27.5,-144.5,2,1
-27.5,-143.5,2,1
-27.5,32.5,37,633
-27.5,114.5,69,744
-28.5,113.5,63,488
-28.5,114.5,63,636
-29.5,113.5,60,431
-29.5,159.5,16,442
-30.5,153.5,58,815
-31.5,115.5,22,250
-31.5,159.5,37,24
-32.5,115.5,20,106
-34.5,150.5,8,0
-34.5,151.5,8,0
